col1	col2	col3	col4	col5
1	0	0	看贷满84万	那商贷贷款
0	0	1	半装修	空着
0	0	2	套房源价格优惠空间	这套3楼
0	1	0	想去看看	9点上班问一下不
0	1	1	您好想了解融创文旅城御林即将上架4室房源报价	好
0	1	2	230搞定	试试
0	1	3	谈到	业主具体谈
0	1	4	价格现在谈到	买江景房楼盘新房买
0	2	0	业主房子满几年	算了一下首付319万
1	2	1	房子二套首付	我店小区东门口德佑
1	2	2	上次发房子毛坯	好
0	2	3	周边配套	明天周六看看
0	2	4	能够看房	买之后商品房
0	3	0	毛坯	这套房子配套雅荷塘小学学位
1	3	1	您好请问房子周边学校	这套看过
0	3	2	您好想咨询鼎基丽湾域南区小区	契税19.10月份
1	4	0	学区	想了解一下天汇城三房
0	4	1	帮简单介绍下房子不到时候有空带老婆去看看	清水
0	4	2	精装修	好
0	5	0	挡光程度 想看看21楼东山	加一下微信  发给你
0	5	1	家具带	房子对应秉正小学
0	5	2	户型图装修情况	龙岗大运中心
0	5	3	学位	考虑买装修好
0	5	4	清水装修	没有讲价😓
1	6	0	60卖	需要贷款
0	6	1	您好请问户型优缺点	您好
0	6	2	最低钱	好没问题这套房子本房不方便看只能找同户型看一下
1	7	0	遮挡	谈
1	7	1	还价空间大	你好
1	7	2	麻烦带看一看	清泉坝下面房子基本上都高税
1	8	0	高税	今天考
0	8	1	这套房东装修	明天几点
0	8	2	明天看	11楼采光没问题
0	9	0	是不是旁边新修遮住	更不了
1	9	1	牡丹花园都没有房本	10楼不山不临街
0	9	2	挡光	看付款说
0	9	3	花园城带学校	看中谈
0	9	4	其实卖装修家具	小区附近地铁育知路站距离约870米
0	10	0	价格大空间	两套暂时不怎么方便😂
0	10	1	不能盲目看	比较方便
0	10	2	阅城新座先看下	低价1300
0	10	3	天鹅湖花园现在可能看	首付30%约20万
0	10	4	看房	微信我加下第一时间说小区楼下链家比较熟
1	11	0	低价	南外集团生源最好最受关注学校
1	11	1	价格优惠	看面积朝向
0	12	0	5栋s户型	楼下交通生活学校都很方便
0	12	1	分别带学位	不先看房才好房东沟通
0	12	2	A7房子	低价房东不看房子不让说
0	13	0	您好请问户型优缺点	不临街
0	13	1	光线	下午看看
0	13	2	价格能谈	2房
0	14	0	马路	附近蛮
0	14	1	能够看房	房子产证满二有个税
0	14	2	采光	小区红砖小板楼估计看不上
1	15	0	小区配套小学初中	现在线上VR看房VR先为讲解一下看
1	15	1	老板唐堤慧苑情况	好很高兴为您服务
1	15	2	两个看	没有出价
1	15	3	看房方便	196万
1	16	0	明天看	没办法小区现在都涨价
1	16	1	钱心里价位	房子特别优质园区位置好
0	16	2	一起看	说
1	17	0	所有二手房都增值税税契税	一层没有增值税满两年
0	17	1	房主包大税	房子还出售中
0	17	2	有大税	方便留个联系方式都问这么久去年12月份问到现在
0	18	0	有税	毛坯考虑价格
0	18	1	啥时候看	实地看看
0	18	2	看房子	您好
0	18	3	205觉得最便宜钱买下来	装完修价格上来
0	18	4	一楼房子空	万科
1	19	0	议价空间	空间不大这是谈过价格
1	19	1	装修完	好贵姓
0	19	2	这套税费大概	房子还
0	20	0	价格还谈到	时间看看
1	20	1	想问一下看房	是不是之前关注
0	20	2	想要看一下房子	确认
0	21	0	您好请问户型优缺点	业主住几天有事出门
0	21	1	看房	业主沟通价格空间不大
1	21	2	增值税	贷款全款
1	22	0	房子看	空间不大业主平时忙诚意先实地看价格可能138左右样子
0	22	1	这房谈😏	回头算首付看
0	22	2	房子价格还降	627万卖
0	23	0	120卖	满五不唯一
0	23	1	想看一下房源	提前约
0	23	2	645看	您好前天咨询会城门小区1居室时间带看看合适业主聊聊价格
0	23	3	有大税	10分钟左右
0	23	4	能聊	高远森林城
0	24	0	套房源价格优惠空间	方便手机号新房子第一时间联系发给您
0	24	1	现在看房岳王庙	洋房3楼15年房子周边有溪华苑菜市场云锦世家公交站
0	24	2	这套房子最低钱	公积金贷款1015年之间
0	25	0	啥时候满	星河外国语
1	25	1	附近配套设施	电话号码不方便留加微信行微信号PHONE电话号码随时都联系
1	25	2	房子房产证	第一套一期
1	25	3	星河带学校	方便留个电话我加微信方便带去看看房
1	25	4	您好请问房子周边学校	单元还没看
1	26	0	都一期	链家所有房源均真实售房源本房业主诚意出售看房方便现在方便抽出几分钟时间带线上VR看一遍详细介绍下房源情况
0	26	1	地段咋样	户型有个清水报价53万有钥匙看
0	26	2	山	看房照片看
0	27	0	您好请问户型优缺点	问过下电话联系
0	27	1	看房	帮找下
0	27	2	房产证照片	明天几点
0	28	0	有没有特殊情况	几年基本都没有变化
1	28	1	产权证	随时看
1	28	2	明天不能看	这套
0	28	3	靠路	您好发起一下电话申请方便点击同意
0	28	4	能够看房	采光没有问题
0	29	0	南北通透	户口社保
0	29	1	说顶楼看	具体价格表发给你微信
1	30	0	楼前面有没有高楼挡	几房几楼
0	30	1	您好正在看成都玩家房子	  三室
0	30	2	加上税费总价大概	方便
0	30	3	您好想咨询金纬东苑小区	采光不错
0	30	4	房子采光好	看几室
1	31	0	现在方便	帮谈 再去价格谈涨
1	31	1	几楼太阳房间	兴趣先看吧现在有人业主谈着还没最终落地看好后确定去谈
0	32	0	知道蓝田新建盘	加上增值税是否超出预算
0	32	1	小区都精装修	说推荐
0	32	2	空间	 实话
1	33	0	满几	房子没有满两年
0	33	1	税费付	房子住
0	34	0	小区几期房子	245
0	34	1	学校 附近	新上房源还没排名
0	34	2	房子装修好装修	不算
0	35	0	满几年	做好
1	35	1	房子不带家具	线上看房
0	35	2	底价	都银行贷款
0	35	3	区c区	方便留个电话到时候好联系
0	35	4	马	房子多久时效
0	36	0	满几年	😄😄
1	36	1	才能看房	 不满五年 差额税
0	36	2	只能全款	我店瑜憬湾
0	36	3	啥时候看	不能保证大优惠
0	36	4	昨天房子卖想看看附近房子	外面一栋楼下商铺
1	37	0	套房源价格优惠空间	您好简单说下购房需求更精准匹配一下合适房源信息节省时间精力
0	37	1	有税	不会
1	38	0	包含土出	帮
1	38	1	优惠毕竟房子不是带看	打电话
0	38	2	小区位置	不是2楼
1	39	0	其他费用议价空间	👌
1	39	1	付款比例	业主住精装修
0	39	2	您好请问房子周边学校	好
1	39	3	看	成交价
0	39	4	还没今晚看装修咋样	方便电话沟通
1	40	0	想去看看	读延奎小学海沧实验中学
0	40	1	最低钱	您好
0	40	2	有没有装修好点	现在这套房子降一万元价格
1	41	0	评估价成交价	预算大概
